Time_Index,onwind,solar
1,0.749905792,0
2,0.743241716,0
3,0.735164851,0
4,0.706298331,0
5,0.668160957,0
6,0.623158195,0
7,0.596369622,0
8,0.529528021,0.032726915
9,0.493868805,0.339955691
10,0.272061328,0.561343372
11,0.20225348,0.520608937
12,0.212462952,0.450633612
13,0.301798241,0.42659647
14,0.355903541,0.305096431
15,0.425253143,0.190694245
16,0.568162034,0.099716945
17,0.595156478,0.00907265
18,0.586372221,0
19,0.570316899,0
20,0.601686747,0
21,0.607568168,0
22,0.63791684,0
23,0.613257987,0
24,0.658840428,0
25,0.716074346,0
26,0.734037051,0
27,0.726885211,0
28,0.694901513,0
29,0.67267997,0
30,0.573619431,0
31,0.509072659,0
32,0.457292734,0.029469972
33,0.442143206,0.31893371
34,0.392997824,0.284022482
35,0.336690782,0.146711011
36,0.332128859,0.167494086
37,0.254596938,0.195157752
38,0.195336813,0.198597581
39,0.18102795,0.181538934
40,0.181721605,0.130761737
41,0.219553736,0.012629772
42,0.266657153,0
43,0.341527652,0
44,0.306593205,0
45,0.407867098,0
46,0.595006296,0
47,0.768387092,0
48,0.795229515,0
49,0.7998132,0
50,0.804184732,0
51,0.800686738,0
52,0.80163909,0
53,0.799141204,0
54,0.7954143,0
55,0.795334391,0
56,0.795313175,0.046129745
57,0.78232049,0.436949127
58,0.778690634,0.669527991
59,0.745352174,0.612043822
60,0.69675352,0.541243975
61,0.668554425,0.539280593
62,0.642882417,0.607655952
63,0.616913858,0.668295975
64,0.629143817,0.438942131
65,0.590030196,0.046824285
66,0.644905445,0
67,0.690752791,0
68,0.704924415,0
69,0.735431572,0
70,0.6927626,0
71,0.591667833,0
72,0.501489385,0
73,0.439122241,0
74,0.397171976,0
75,0.397238571,0
76,0.397549469,0
77,0.377236542,0
78,0.435164599,0
79,0.485914215,0
80,0.503889323,0.019611406
81,0.506232934,0.180699625
82,0.372779971,0.292628755
83,0.296138017,0.366921302
84,0.408466102,0.418997083
85,0.542321561,0.505770678
86,0.615198122,0.577518513
87,0.620844596,0.586752893
88,0.570844492,0.42605646
89,0.619592647,0.048628671
90,0.663395279,0
91,0.697746846,0
92,0.727680107,0
93,0.770981523,0
94,0.777097378,0
95,0.760537988,0
96,0.755606203,0
97,0.745973106,0
98,0.758335843,0
99,0.756932413,0
100,0.754387395,0
101,0.73046035,0
102,0.735329874,0
103,0.740883575,0
104,0.743905941,0.0419138
105,0.749359684,0.411061315
106,0.679529634,0.652573568
107,0.64548875,0.60937762
108,0.60008718,0.534753509
109,0.535886532,0.53225328
110,0.525641027,0.600716608
111,0.50848312,0.656709964
112,0.500321937,0.302099877
113,0.655413869,0.030807221
114,0.712278471,0
115,0.702327699,0
116,0.713648426,0
117,0.688895899,0
118,0.623966083,0
119,0.565144299,0
120,0.49550556,0
121,0.403159296,0
122,0.32666367,0
123,0.268096086,0
124,0.162400739,0
125,0.107360133,0
126,0.074434195,0
127,0.061935939,0
128,0.052249674,0.022587366
129,0.058914816,0.193492649
130,0.047816997,0.387357292
131,0.021485933,0.314229668
132,0.009284059,0.285221449
133,0.008193817,0.23874732
134,0.005981925,0.211393649
135,0.003354999,0.364976613
136,0.003312124,0.277569991
137,0.004513188,0.035484613
138,0.009431364,0
139,0.002851065,0
140,0.001307009,0
141,0.003129843,0
142,0.007589002,0
143,0.002453984,0
144,0.000915703,0
145,0.004822885,0
146,0.006583351,0
147,0.03364284,0
148,0.072072099,0
149,0.112310262,0
150,0.196877042,0
151,0.292028194,0
152,0.429482248,0.002740768
153,0.542311212,0.034893475
154,0.510612779,0.101216265
155,0.567113166,0.102543929
156,0.626598711,0.107373305
